mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
15,9,9144,4776,1,8,4,1800,3112,2,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,False
15,11,9912,6200,1,8,4,4776,3112,2,0.0,0.42,0.38,0.0,0.0,0.0,0.0,0.0,False
10,4,5736,3496,1,5,0,3496,504,2,0.0,0.4,0.35,0.0,0.0,0.0,0.0,0.0,False
20,18,10680,7736,1,11,6,6968,4584,2,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,False
3,0,1480,648,1,22,19,15840,16992,2,0.0,0.35,0.5,0.0,0.0,0.0,0.0,0.0,False
15,11,8248,6712,1,5,0,3880,488,2,0.0,0.42,0.34,0.0,0.0,0.0,0.0,0.0,False
8,2,3496,1256,1,25,20,12960,16416,2,0.0,0.35,0.49,0.0,0.0,0.0,0.0,0.0,False
24,20,3240,9912,1,8,2,4392,1480,2,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,False
13,8,8504,5992,1,18,15,9528,5736,2,0.0,0.41,0.38,0.0,0.0,0.0,0.0,0.0,False
19,17,12960,7736,1,19,17,3624,280,2,0.0,0.42,0.27,0.0,0.0,0.0,0.0,0.0,False
18,14,7992,7992,1,11,6,6456,4968,2,0.0,0.39,0.42,0.0,0.0,0.0,0.0,0.0,False
8,4,680,1000,1,22,19,22920,12576,2,0.0,0.3,0.48,0.0,0.0,0.0,0.0,0.0,False
15,11,8504,5992,1,18,15,9144,9528,2,0.0,0.4,0.43,0.0,0.0,0.0,0.0,0.0,False
13,8,5992,1800,1,10,4,616,208,2,0.0,0.32,0.25,0.0,0.0,0.0,0.0,0.0,False
7,2,968,472,1,13,8,904,4264,2,0.0,0.29,0.33,0.0,0.0,0.0,0.0,0.0,False
13,7,1128,3880,1,5,0,2216,16,2,0.0,0.32,0.27,0.0,0.0,0.0,0.0,0.0,False
15,12,8760,5992,1,19,17,2856,9144,2,0.0,0.4,0.39,0.0,0.0,0.0,0.0,0.0,False
18,15,11832,552,1,18,14,15840,488,2,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,False
7,2,1608,1544,1,22,19,1864,11064,2,0.0,0.36,0.38,0.0,0.0,0.0,0.0,0.0,False
22,19,5992,8248,1,15,9,4968,1256,2,0.0,0.39,0.29,0.0,0.0,0.0,0.0,0.0,False
2,0,616,712,1,15,9,1128,1736,2,0.0,0.33,0.28,0.0,0.0,0.0,0.0,0.0,False
18,15,15840,10296,1,26,20,21384,15264,2,0.0,0.47,0.52,0.0,0.0,0.0,0.0,0.0,False
8,2,2344,744,1,15,9,1128,6968,2,0.0,0.32,0.4,0.0,0.0,0.0,0.0,0.0,False
4,0,1480,376,1,20,17,1160,3624,2,0.0,0.31,0.29,0.0,0.0,0.0,0.0,0.0,False
24,20,4264,12960,1,24,20,15840,15840,2,0.0,0.41,0.49,0.0,0.0,0.0,0.0,0.0,False
13,7,1352,2088,1,20,17,5544,8248,2,0.0,0.29,0.38,0.0,0.0,0.0,0.0,0.0,False
15,9,12216,7736,1,18,15,2280,6968,2,0.0,0.43,0.36,0.0,0.0,0.0,0.0,0.0,False
19,17,1800,10296,1,13,7,8248,4392,2,0.0,0.39,0.37,0.0,0.0,0.0,0.0,0.0,False
15,10,10680,936,1,18,14,1608,11832,2,0.0,0.33,0.42,0.0,0.0,0.0,0.0,0.0,False
18,14,5992,11448,1,5,0,224,504,2,0.0,0.44,0.3,0.0,0.0,0.0,0.0,0.0,False
20,17,5544,2472,1,20,18,15264,12216,2,0.0,0.31,0.47,0.0,0.0,0.0,0.0,0.0,False
6,1,1128,520,1,15,10,9912,6712,2,0.0,0.3,0.43,0.0,0.0,0.0,0.0,0.0,False
15,10,13536,7992,1,10,4,3624,1608,2,0.0,0.44,0.33,0.0,0.0,0.0,0.0,0.0,False
15,10,10680,3112,1,15,10,2280,5736,2,0.0,0.36,0.37,0.0,0.0,0.0,0.0,0.0,False
18,15,12960,7480,1,20,18,7224,6200,2,0.0,0.42,0.38,0.0,0.0,0.0,0.0,0.0,False
13,8,5352,120,1,10,4,4968,208,2,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,False
24,20,16992,4008,1,19,17,10296,7992,2,0.0,0.34,0.41,0.0,0.0,0.0,0.0,0.0,False
15,11,12960,8504,1,4,0,1352,1032,2,0.0,0.45,0.36,0.0,0.0,0.0,0.0,0.0,False
