mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
20,18,16416,12216,"1-3,5-7",26,20,28336,13536,"1-3,5-7",0.0,0.4,0.39,0.05,0.0,0.05,0.08,0.08,False
11,6,3368,1480,"1-3,5-7",8,2,392,1992,"1-3,5-7",0.0,0.28,0.24,0.04,0.0,0.04,0.05,0.05,False
8,4,2344,1416,"1-3,5-7",26,20,11448,5544,"1-3,5-7",0.0,0.28,0.24,0.04,0.0,0.04,0.05,0.05,False
20,18,376,11448,"1-3,5-7",15,12,1736,2216,"1-3,5-7",0.0,0.31,0.23,0.04,0.0,0.04,0.05,0.05,False
26,20,28336,5992,"1-3,5-7",20,18,11832,10680,"1-3,5-7",0.0,0.35,0.33,0.05,0.0,0.05,0.07,0.07,False
18,15,7992,12960,"1-3,5-7",19,17,7992,4008,"1-3,5-7",0.0,0.38,0.27,0.05,0.0,0.05,0.06,0.05,False
13,8,2472,5544,"1-3,5-7",8,2,536,840,"1-3,5-7",0.0,0.29,0.24,0.04,0.0,0.04,0.05,0.05,False
22,19,4136,12576,"1-3,5-7",20,17,5992,10296,"1-3,5-7",0.0,0.33,0.32,0.04,0.0,0.04,0.06,0.06,False
20,18,14688,9912,"1-3,5-7",13,7,4968,4392,"1-3,5-7",0.0,0.36,0.29,0.05,0.0,0.05,0.06,0.06,False
15,10,11064,1416,"1-3,5-7",24,20,11448,376,"1-3,5-7",0.0,0.26,0.25,0.04,0.0,0.04,0.05,0.05,False
18,15,11064,2600,"1-3,5-7",7,2,840,424,"1-3,5-7",0.0,0.27,0.21,0.04,0.0,0.04,0.05,0.04,False
13,8,7224,808,"1-3,5-7",15,9,1416,6712,"1-3,5-7",0.0,0.29,0.25,0.04,0.0,0.04,0.05,0.05,False
4,0,1928,1384,"1-3,5-7",11,6,5160,2216,"1-3,5-7",0.0,0.3,0.26,0.04,0.0,0.04,0.05,0.05,False
25,20,9912,19080,"1-3,5-7",2,0,648,176,"1-3,5-7",0.0,0.4,0.21,0.05,0.0,0.05,0.05,0.04,False
4,0,2344,776,"1-3,5-7",26,20,1192,12216,"1-3,5-7",0.0,0.31,0.28,0.04,0.0,0.04,0.06,0.06,False
22,19,904,9912,"1-3,5-7",6,1,2984,1736,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
7,2,1096,328,"1-3,5-7",11,6,7992,2984,"1-3,5-7",0.0,0.29,0.22,0.04,0.0,0.04,0.05,0.04,False
18,15,7736,12216,"1-3,5-7",8,4,3880,1192,"1-3,5-7",0.0,0.36,0.26,0.05,0.0,0.05,0.06,0.05,False
18,14,12576,8760,"1-3,5-7",18,14,7736,8248,"1-3,5-7",0.0,0.34,0.32,0.05,0.0,0.05,0.07,0.06,False
15,9,6968,7480,"1-3,5-7",8,4,2984,1864,"1-3,5-7",0.0,0.32,0.26,0.04,0.0,0.04,0.06,0.05,False
5,0,4392,456,"1-3,5-7",18,15,4264,9144,"1-3,5-7",0.0,0.3,0.27,0.04,0.0,0.04,0.06,0.05,False
3,0,2856,344,"1-3,5-7",3,0,328,344,"1-3,5-7",0.0,0.26,0.22,0.03,0.0,0.03,0.05,0.04,False
15,10,3496,4392,"1-3,5-7",15,9,4968,4776,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.05,0.05,False
3,0,968,1224,"1-3,5-7",18,14,13536,3880,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
15,12,13536,1608,"1-3,5-7",15,10,256,6712,"1-3,5-7",0.0,0.31,0.27,0.04,0.0,0.04,0.06,0.05,False
8,2,5352,776,"1-3,5-7",8,2,2664,2216,"1-3,5-7",0.0,0.28,0.27,0.04,0.0,0.04,0.05,0.05,False
19,17,11832,13536,"1-3,5-7",2,0,2088,680,"1-3,5-7",0.0,0.38,0.28,0.05,0.0,0.05,0.06,0.06,False
20,17,9144,12576,"1-3,5-7",18,15,9912,9912,"1-3,5-7",0.0,0.36,0.34,0.05,0.0,0.05,0.07,0.07,False
15,11,552,4008,"1-3,5-7",15,11,12576,2280,"1-3,5-7",0.0,0.29,0.25,0.04,0.0,0.04,0.05,0.05,False
10,4,3112,3240,"1-3,5-7",8,4,120,904,"1-3,5-7",0.0,0.31,0.23,0.04,0.0,0.04,0.05,0.05,False
5,0,3496,600,"1-3,5-7",18,15,1928,13536,"1-3,5-7",0.0,0.34,0.27,0.05,0.0,0.05,0.06,0.05,False
15,12,2600,8760,"1-3,5-7",25,20,5160,4008,"1-3,5-7",0.0,0.32,0.24,0.04,0.0,0.04,0.05,0.05,False
3,0,680,1288,"1-3,5-7",2,0,1288,968,"1-3,5-7",0.0,0.28,0.28,0.06,0.0,0.06,0.04,0.04,False
26,20,17568,15840,"1-3,5-7",15,9,5992,2856,"1-3,5-7",0.0,0.38,0.27,0.05,0.0,0.05,0.06,0.05,False
19,17,17568,11832,"1-3,5-7",6,1,4776,1800,"1-3,5-7",0.0,0.4,0.31,0.05,0.0,0.05,0.07,0.06,False
7,2,2536,1800,"1-3,5-7",15,9,1128,7480,"1-3,5-7",0.0,0.31,0.28,0.04,0.0,0.04,0.06,0.06,False
15,12,1992,584,"1-3,5-7",15,11,8248,1384,"1-3,5-7",0.0,0.26,0.21,0.03,0.0,0.03,0.04,0.04,False
26,20,29296,19848,"1-3,5-7",8,2,6968,1672,"1-3,5-7",0.0,0.43,0.3,0.06,0.0,0.06,0.07,0.06,False
3,0,1416,1160,"1-3,5-7",15,11,5160,2664,"1-3,5-7",0.0,0.3,0.25,0.04,0.0,0.04,0.05,0.05,False
15,10,10680,2344,"1-3,5-7",11,6,8504,3368,"1-3,5-7",0.0,0.3,0.28,0.04,0.0,0.04,0.06,0.06,False
18,14,5992,9912,"1-3,5-7",13,8,3624,1384,"1-3,5-7",0.0,0.33,0.22,0.04,0.0,0.04,0.05,0.04,False
15,11,2280,144,"1-3,5-7",25,20,15264,4776,"1-3,5-7",0.0,0.28,0.2,0.04,0.0,0.04,0.05,0.04,False
3,0,1320,1192,"1-3,5-7",8,2,4008,648,"1-3,5-7",0.0,0.3,0.26,0.04,0.0,0.04,0.05,0.05,False
8,2,4264,2216,"1-3,5-7",19,17,14688,600,"1-3,5-7",0.0,0.3,0.26,0.04,0.0,0.04,0.05,0.05,False
3,0,2664,1000,"1-3,5-7",20,18,14112,7224,"1-3,5-7",0.0,0.31,0.29,0.04,0.0,0.04,0.06,0.06,False
4,0,56,1256,"1-3,5-7",11,6,7736,4968,"1-3,5-7",0.0,0.31,0.27,0.04,0.0,0.04,0.06,0.05,False
18,14,11448,12960,"1-3,5-7",10,4,2856,1416,"1-3,5-7",0.0,0.38,0.25,0.05,0.0,0.05,0.06,0.05,False
15,12,8504,6712,"1-3,5-7",19,17,7480,1544,"1-3,5-7",0.0,0.32,0.24,0.04,0.0,0.04,0.05,0.05,False
19,17,8248,5544,"1-3,5-7",8,2,2344,1608,"1-3,5-7",0.0,0.29,0.27,0.04,0.0,0.04,0.05,0.05,False
7,2,3368,872,"1-3,5-7",15,11,5992,3752,"1-3,5-7",0.0,0.27,0.27,0.04,0.0,0.04,0.05,0.05,False
18,14,328,9528,"1-3,5-7",26,20,15840,8248,"1-3,5-7",0.0,0.31,0.29,0.04,0.0,0.04,0.06,0.06,False
18,14,14112,1000,"1-3,5-7",26,20,10296,3624,"1-3,5-7",0.0,0.27,0.27,0.04,0.0,0.04,0.05,0.05,False
20,17,14112,11064,"1-3,5-7",13,8,5992,680,"1-3,5-7",0.0,0.37,0.24,0.05,0.0,0.05,0.06,0.05,False
20,18,12216,2984,"1-3,5-7",20,18,8248,1928,"1-3,5-7",0.0,0.27,0.25,0.04,0.0,0.04,0.05,0.05,False
7,2,3496,1928,"1-3,5-7",18,14,632,6968,"1-3,5-7",0.0,0.3,0.28,0.04,0.0,0.04,0.06,0.06,False
18,14,4968,2856,"1-3,5-7",2,0,2216,376,"1-3,5-7",0.0,0.26,0.25,0.03,0.0,0.03,0.05,0.05,False
2,0,144,600,"1-3,5-7",20,18,4776,5160,"1-3,5-7",0.0,0.27,0.25,0.04,0.0,0.04,0.05,0.05,False
8,4,1096,3624,"1-3,5-7",13,7,5992,1320,"1-3,5-7",0.0,0.28,0.24,0.04,0.0,0.04,0.05,0.05,False
20,18,10296,15264,"1-3,5-7",25,20,4008,16992,"1-3,5-7",0.0,0.39,0.36,0.05,0.0,0.05,0.07,0.07,False
6,1,1736,632,"1-3,5-7",6,1,2728,344,"1-3,5-7",0.0,0.25,0.23,0.03,0.0,0.03,0.05,0.05,False
10,4,3496,2472,"1-3,5-7",5,0,3240,288,"1-3,5-7",0.0,0.28,0.25,0.04,0.0,0.04,0.05,0.05,False
19,17,13536,3624,"1-3,5-7",20,18,3112,15840,"1-3,5-7",0.0,0.35,0.28,0.05,0.0,0.05,0.06,0.06,False
3,0,1320,376,"1-3,5-7",8,2,120,776,"1-3,5-7",0.0,0.25,0.23,0.03,0.0,0.03,0.05,0.05,False
22,19,10296,3240,"1-3,5-7",6,1,1544,1800,"1-3,5-7",0.0,0.29,0.26,0.04,0.0,0.04,0.05,0.05,False
18,14,15840,2024,"1-3,5-7",8,4,1928,3624,"1-3,5-7",0.0,0.29,0.27,0.04,0.0,0.04,0.06,0.05,False
15,11,4264,4264,"1-3,5-7",4,0,1288,208,"1-3,5-7",0.0,0.27,0.21,0.04,0.0,0.04,0.05,0.04,False
15,9,4968,776,"1-3,5-7",2,0,2088,1320,"1-3,5-7",0.0,0.3,0.22,0.04,0.0,0.04,0.05,0.04,False
22,19,14112,16416,"1-3,5-7",10,4,456,256,"1-3,5-7",0.0,0.39,0.2,0.05,0.0,0.05,0.05,0.04,False
8,2,3624,2024,"1-3,5-7",19,17,14112,10680,"1-3,5-7",0.0,0.36,0.3,0.05,0.0,0.05,0.06,0.06,False
15,9,12576,2984,"1-3,5-7",24,20,25456,1992,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
15,10,1736,776,"1-3,5-7",19,17,15264,6968,"1-3,5-7",0.0,0.32,0.21,0.04,0.0,0.04,0.05,0.04,False
